time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
2147483647	6.02351	1.59095	7.28411	-0.542698	0	radar	338.572	11.4763	1.53917	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	6.21705	1.64079	7.27952	-0.542768	0	lidar	1423.35	11.7788	1.74591	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	6.26746	1.65421	7.27179	-0.538415	0	radar	390.895	12.136	2.14937	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	6.46216	1.70336	7.26683	-0.538608	0	lidar	1577.6	12.3226	1.78353	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	6.51126	1.71514	7.26308	-0.534977	0	radar	410.96	12.5457	1.77728	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	6.70129	1.76609	7.25901	-0.534625	0	lidar	1600.58	12.5924	2.17509	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	6.75269	1.7811	7.2606	-0.530031	0	radar	478.928	13.2198	2.6644	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	6.94391	1.83342	7.25681	-0.529485	0	lidar	1745.64	13.0875	2.40708	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	6.98842	1.84692	7.24411	-0.534018	0	radar	388.135	12.7087	3.12439	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	7.188	1.90211	7.24032	-0.533343	0	lidar	2048.2	13.836	2.62479	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	7.23639	1.91559	7.23707	-0.535498	0	radar	494.695	13.8302	2.73893	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	7.43375	1.97211	7.23382	-0.534514	0	lidar	2144.8	14.2106	2.94205	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	7.48371	1.98649	7.23394	-0.532409	0	radar	568.335	14.5568	2.87021	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	7.67358	2.03949	7.23047	-0.531677	0	lidar	2140.68	14.4616	2.90734	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	7.72237	2.05561	7.23158	-0.530259	0	radar	581.706	14.6754	3.96041	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	7.91719	2.11438	7.22912	-0.528835	0	lidar	2397.41	15.0261	3.5067	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	7.96738	2.13048	7.22174	-0.530975	0	radar	659.908	15.3685	4.14761	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	8.16339	2.19123	7.21963	-0.52931	0	lidar	2595.45	15.5236	3.82936	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	8.21153	2.2053	7.21544	-0.530807	0	radar	647.048	15.7234	3.4105	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	8.4068	2.26608	7.21337	-0.529125	0	lidar	2751.47	15.9774	4.00094	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	8.45655	2.28145	7.20564	-0.53297	0	radar	740.374	16.3376	4.21632	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	8.65017	2.34467	7.20424	-0.53089	0	lidar	2890.25	16.3313	4.44499	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	8.69962	2.36042	7.20297	-0.532604	0	radar	777.308	16.7586	4.48231	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	8.8888	2.42334	7.20186	-0.530436	0	lidar	2941.65	16.6039	4.67344	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	8.93718	2.43885	7.20139	-0.53842	0	radar	804.189	16.9236	5.10119	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	9.12634	2.50533	7.20111	-0.535787	0	lidar	3151.65	16.9955	5.21099	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	9.17354	2.51994	7.21722	-0.543153	0	radar	801.848	17.3421	4.64623	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	9.35917	2.58622	7.21732	-0.540487	0	lidar	3229.68	17.2894	5.43542	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	9.40544	2.60041	7.25749	-0.552059	0	radar	818.422	17.6463	4.74597	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	9.59185	2.66708	7.25791	-0.54945	0	lidar	3449.11	17.7853	5.62476	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	9.63876	2.68277	7.34979	-0.568826	0	radar	903.365	17.9216	6.07151	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	9.82422	2.75268	7.3518	-0.565908	0	lidar	3661.34	18.1263	6.16985	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	9.87068	2.76905	7.48255	-0.588483	0	radar	940.371	18.1245	6.79027	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	10.0501	2.84056	7.48712	-0.585442	0	lidar	3690.05	18.2164	6.66138	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	10.0958	2.85664	7.7305	-0.624151	0	radar	964.668	18.4022	7.02231	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	10.2725	2.92691	7.73722	-0.621544	0	lidar	3769.39	18.5422	6.76013	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	10.3181	2.9432	7.99706	-0.660073	0	radar	1005.6	18.8089	7.24388	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	10.4988	3.01643	8.00831	-0.657834	0	lidar	4176.58	19.1441	7.18344	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	10.5411	3.03165	8.57705	-0.740093	0	radar	929.092	18.5479	7.4012	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	10.713	3.10753	8.59609	-0.73817	0	lidar	4149.32	19.0138	7.8688	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	10.757	3.1236	8.99344	-0.793305	0	radar	1037.79	19.3089	7.67375	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	10.9236	3.19907	9.01772	-0.79195	0	lidar	4151.85	19.132	8.12845	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	10.9651	3.21489	9.27025	-0.826103	0	radar	978.976	19.0239	8.17194	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	11.1281	3.28963	9.29696	-0.825048	0	lidar	4197.5	19.347	8.30741	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	11.1706	3.30568	9.60549	-0.866489	0	radar	1076.61	19.6843	8.35902	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	11.3392	3.38484	9.63574	-0.865463	0	lidar	4768.3	20.0039	8.8906	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	11.3813	3.40159	9.87541	-0.896935	0	radar	1126.36	19.6061	9.48659	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	11.5465	3.48326	9.90872	-0.895796	0	lidar	4967.7	20.1574	9.45949	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	11.5872	3.49968	10.13	-0.924451	0	radar	1109.69	19.6163	9.76606	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	11.7465	3.5823	10.1653	-0.923176	0	lidar	5005.69	20.1573	9.90876	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	11.7871	3.59989	10.2027	-0.927118	0	radar	1199.58	19.1911	11.5493	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	11.9412	3.68448	10.2404	-0.925648	0	lidar	5133.96	20.166	10.4687	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	11.9804	3.70089	10.3911	-0.944555	0	radar	1145.48	19.6775	10.803	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	12.1327	3.78787	10.431	-0.942939	0	lidar	5418.89	20.371	11.0109	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	12.1722	3.8053	10.4949	-0.950246	0	radar	1253.91	19.4335	12.3402	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	12.3181	3.89214	10.5359	-0.948525	0	lidar	5394.78	20.3164	11.3483	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	12.355	3.90867	10.7331	-0.973015	0	radar	1164.26	19.2063	12.2418	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	12.5009	3.99858	10.7765	-0.971148	0	lidar	5814.32	20.6141	11.9422	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	12.5383	4.01472	10.7926	-0.972324	0	radar	1199.94	19.966	11.9688	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	12.6754	4.10573	10.8384	-0.970248	0	lidar	5811.35	20.3263	12.4966	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	12.7124	4.12197	10.9885	-0.988365	0	radar	1244.84	20.0192	12.4823	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	12.8475	4.21401	11.0356	-0.986205	0	lidar	6030.1	20.498	12.8924	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	12.8855	4.23013	11.1327	-0.997508	0	radar	1327.95	20.9151	12.2555	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	13.0114	4.32104	11.1806	-0.995246	0	lidar	5848.24	20.1943	13.1688	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	13.047	4.33721	11.2625	-1.00444	0	radar	1267.65	19.858	13.5236	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	13.1716	4.43175	11.3134	-1.00198	0	lidar	6328.96	20.3245	13.8896	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	13.2072	4.44775	11.4207	-1.01423	0	radar	1313.79	20.3387	13.5307	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	13.3251	4.54286	11.4733	-1.01162	0	lidar	6393.35	20.1216	14.337	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	13.3591	4.55884	11.5652	-1.0218	0	radar	1285.27	19.6717	14.4038	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	13.4689	4.65417	11.6194	-1.01903	0	lidar	6395.09	19.781	14.773	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	13.5023	4.66954	11.6983	-1.0276	0	radar	1257.98	20.1149	14.0165	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	13.6119	4.76641	11.7537	-1.02476	0	lidar	6744.83	20.0208	15.2053	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	13.6462	4.7827	11.9252	-1.04413	0	radar	1441.3	20.0157	15.3443	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	13.751	4.87966	11.9815	-1.0412	0	lidar	6826.44	19.9131	15.554	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	13.7834	4.89515	12.0778	-1.05148	0	radar	1317.13	19.9388	15.0864	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	13.8796	4.99238	12.1358	-1.04837	0	lidar	6857.78	19.4748	16.0098	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	13.9107	5.00791	12.2136	-1.05635	0	radar	1299.52	19.1556	16.0022	2.60831e-038	2.60813e-038	0	3.92364e-044
2147483647	14.0008	5.10441	12.2722	-1.05317	0	lidar	6830.66	19.238	16.2719	2.60831e-038	2.60813e-038	0	3.92364e-044
